Industry,ERA species ID,CAAB code,Scientific_name,Common_name,IUCN system,Number,EPBC status,Seabird,Migratory listed,Marine listed,Cetacean listed,Bioregional_conservation_status,Type,Report_Table_Num,F Overall Risk,F Overall Risk table reference,Tentative final risk score,Tentative final risk score table reference,Risk Score,Potential_Impact,Potential_Impact_Significance,Consequence Score (1-6),Notes,EIA assessment,"Bookmark name in Tess' ""BASS STRAIT"" folder",,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Galaxiella pusilla,Dwarf galaxias,Freshwater,,Endangered,Not seabird,Not Listed for Migratory,Not Listed for Marine,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Prototroctes maraena,Australian grayling,Freshwater/Marine,,Vulnerable,Not seabird,Not Listed for Migratory,Not Listed for Marine,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Carcharodon carcharias,Great white shark,Marine,,Vulnerable,Not seabird,Listed,Not Listed for Marine,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Isurus oxyrinchus,Shortfin mako,Marine,,Listed,Not seabird,Listed,Not Listed for Marine,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Lamna nasus,Porbeagle,Marine,,Listed,Not seabird,Listed,Not Listed for Marine,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Rhincodon typus,Whale shark,Marine,,Vulnerable,Not seabird,Listed,Not Listed for Marine,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Heraldia nocturna,Upside-down pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Hippocampus abdominalis,Big-belly seahorse,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Hippocampus breviceps,Short-head seahorse,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Hippocampus minotaur,Bullneck seahorse,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Hippocampus whitei,White's seahorse,Marine,,Endangered,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Histiogamphelus briggsii,Crested pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Histiogamphelus cristatus,Rhino pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Hypselognathus rostratus,Knifesnout pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Kaupus costatus,Deepbody pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Kimblaeus bassensis,Trawl pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Leptoichthys fistularius,Brushtail pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Lissocampus runa,Javelin pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Maroubra perserrata,Sawtooth pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Mitotichthys semistriatus,Halfbanded pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Mitotichthys tuckeri,Tucker's Pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Notiocampus ruber,Red pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Phyllopteryx taeniolatus,Common seadragon,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Solegnathus robustus,Robust pipehorse,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Solegnathus spinosissimus,Spiny pipehorse,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Stigmatopora argus,Spotted pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Stigmatopora nigra,Widebody pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Maroubra perserrata,A pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Stipecampus cristatus,Ringback pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Syngnathoides biaculeatus,Double-end pipehorse,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Urocampus carinirostris,Hairy pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Maroubra perserrata,Mother-of- pearl pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Vanacampus phillipi,Port Phillip pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Vanacampus poecilolaemus,Longsnout pipefish,Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.3 EPBC Act-Listed fish that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Balaenoptera acutorostrata,Minke whale,Marine,,Listed,Not seabird,Not Listed for Migratory,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Balaenoptera borealis,Sei whale,Marine,,Vulnerable,Not seabird,Listed,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Balaenoptera musculus,Pygmy blue whale,Marine,,Endangered,Not seabird,Listed,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Balaenoptera physalus,Fin whale,Marine,,Vulnerable,Not seabird,Listed,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Caperea marginata,Pygmy right whale,Marine,,Listed,Not seabird,Listed,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Eubalaena australis,Southern right whale,Marine,,Endangered,Not seabird,Listed,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Megaptera novaeangliae,Humpback whale,Marine,,Listed,Not seabird,Listed,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Pseudorca crassidens,False killer whale,Marine,,Listed,Not seabird,Not Listed for Migratory,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Delphinus delphis,Common dolphin,Marine,,Listed,Not seabird,Not Listed for Migratory,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Grampus griseus,Risso's dolphin,Marine,,Listed,Not seabird,Not Listed for Migratory,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Lagenorhynchus obscurus,Dusky dolphin,Marine,,Listed,Not seabird,Listed,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Orcinus orca,Killer whale,Marine,,Listed,Not seabird,Listed,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Tursiops aduncus,Indian Ocean bottlenose dolphin,Marine,,Listed,Not seabird,Not Listed for Migratory,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Tursiops truncatus s. str.,Bottlenose Dolphin,Marine,,Listed,Not seabird,Not Listed for Migratory,Not Listed for Marine,Cetacean,,Table 4.4 EPBC Act-Listed cetaceans that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Arctocephalus forsteri,New Zealand fur seal,Terrestrial/Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.5 EPBC Act-Listed pinnipeds that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Arctocephalus pusillus,Australian Fur Seal,Terrestrial/Marine,,Listed,Not seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.5 EPBC Act-Listed pinnipeds that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Caretta caretta,Loggerhead turtle,Terrestrial/Marine,,Endangered,Not seabird,Listed as Cheloniidae,Listed,Not Listed for Cetacean,,Table 4.6 EPBC Act-Listed marine reptiles that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Chelonia mydas,Green turtle,Terrestrial/Marine,,Vulnerable,Not seabird,Listed as Cheloniidae,Listed,Not Listed for Cetacean,,Table 4.6 EPBC Act-Listed marine reptiles that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Dermochelys coriacea,Leatherback turtle,Terrestrial/Marine,,Endangered,Not seabird,Listed as Dermochelidae,Listed,Not Listed for Cetacean,,Table 4.6 EPBC Act-Listed marine reptiles that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Diomedea antipodensis,Antipodean albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 4.7 EPBC Act-Listed bird species that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Diomedea antipodensis gibsoni,Gibson's albatross,Terrestrial/Marine,,Vulnerable,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 4.7 EPBC Act-Listed bird species that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
GBEnergy: Golden Beach Geophysical and Geotechnical Investigations,,,Diomedea epomophora,Southern royal albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 4.7 EPBC Act-Listed bird species that may occur in the EMBA,,,,,,,,,,,https://resources.vic.gov.au/__data/assets/pdf_file/0011/474455/GB-Energy-Golden-Beach-Geophysical-and-Geotechnical-Investigations-Environment-Plan-Summary.pdf,GB-Energy-Golden-Beach-EPSummary.pdf,,
