"","Industry","Name","IUCN.system","EPBC.status","Seabird","IUCN.system2"
"662","Cumulative","Calidris Alba","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"663","Cumulative","Calidris Melanotos","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"664","Cumulative","Motacilla Flava","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"665","Cumulative","Rhipidura Rufifrons","Terrestrial","Listed","Not seabird","Terrestrial"
"666","Cumulative","Myiagra Cyanoleuca","Terrestrial","Listed","Not seabird","Terrestrial"
"667","Cumulative","Monarcha Melanopsis","Terrestrial","Listed","Not seabird","Terrestrial"
"668","Cumulative","Arctocephalus Forsteri","Marine","Listed","Not seabird","Marine"
"669","Cumulative","Balaenoptera Borealis","Marine","Vulnerable","Not seabird","Marine"
"670","Cumulative","Balaenoptera Musculus","Marine","Endangered","Not seabird","Marine"
"671","Cumulative","Balaenoptera Physalus","Marine","Vulnerable","Not seabird","Marine"
"672","Cumulative","Caperea Marginata","Marine","Listed","Not seabird","Marine"
"673","Cumulative","Eubalaena Australis","Marine","Endangered","Not seabird","Marine"
"674","Cumulative","Megaptera Novaeangliae","Marine","Listed","Not seabird","Marine"
"675","Cumulative","Orcinus Orca","Marine","Listed","Not seabird","Marine"
"676","Cumulative","Lagenorhynchus Obscurus","Marine","Listed","Not seabird","Marine"
"677","Cumulative","Caretta Caretta","Terrestrial/Marine","Endangered","Not seabird","Mixed"
"678","Cumulative","Chelonia Mydas","Terrestrial/Marine","Vulnerable","Not seabird","Mixed"
"679","Cumulative","Dermochelys Coriacea","Terrestrial/Marine","Endangered","Not seabird","Mixed"
"680","Cumulative","Isurus Oxyrinchus","Marine","Listed","Not seabird","Marine"
"681","Cumulative","Prototroctes Maraena","Freshwater/Marine","Vulnerable","Not seabird","Mixed"
"682","Cumulative","Carcharodon Carcharias","Marine","Vulnerable","Not seabird","Marine"
"683","Cumulative","Lamna Nasus","Marine","Listed","Not seabird","Marine"
"684","Cumulative","Galaxiella Pusilla","Freshwater","Endangered","Not seabird","Freshwater"
"685","Cumulative","Galeorhinus Galeus","Marine","Conservation Dependent","Not seabird","Marine"
"686","Cumulative","Rhincodon Typus","Marine","Vulnerable","Not seabird","Marine"
"687","Cumulative","Seriolella Brama","Marine","Conservation Dependent","Not seabird","Marine"
"688","Cumulative","Thunnus Maccoyii","Marine","Conservation Dependent","Not seabird","Marine"
"689","Cumulative","Pachyptila Turtur Subantarctica","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"690","Cumulative","Pterodroma Leucoptera Leucoptera","Terrestrial/Marine","Endangered","Seabird","Mixed"
"691","Cumulative","Halobaena Caerulea","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"692","Cumulative","Diomedea Exulans","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"693","Cumulative","Thalassarche Melanophris","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"694","Cumulative","Thalassarche Carteri","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"695","Cumulative","Thalassarche Chrysostoma","Terrestrial/Marine","Endangered","Seabird","Mixed"
"696","Cumulative","Thalassarche Cauta","Terrestrial/Marine","Endangered","Seabird","Mixed"
"697","Cumulative","Phoebetria Fusca","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"698","Cumulative","Macronectes Giganteus","Terrestrial/Marine","Endangered","Seabird","Mixed"
"699","Cumulative","Thalassarche Bulleri","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"700","Cumulative","Macronectes Halli","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"701","Cumulative","Diomedea Epomophora","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"702","Cumulative","Phoebetria Palpebrata","Terrestrial/Marine","Listed","Seabird","Mixed"
"703","Cumulative","Petauroides Volans","Terrestrial","Endangered","Not seabird","Terrestrial"
"704","Cumulative","Pseudomys Novaehollandiae","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"705","Cumulative","Isoodon Obesulus Obesulus","Terrestrial","Endangered","Not seabird","Terrestrial"
"706","Cumulative","Pteropus Poliocephalus","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"707","Cumulative","Litoria Aurea","Terrestrial/Freshwater","Vulnerable","Not seabird","Mixed"
"708","Cumulative","Litoria Raniformis","Terrestrial/Freshwater","Vulnerable","Not seabird","Mixed"
"709","Cumulative","Macquaria Australasica","Freshwater","Endangered","Not seabird","Freshwater"
"710","Cumulative","Lissolepis Coventryi","Terrestrial/Freshwater","Endangered","Not seabird","Mixed"
"711","Cumulative","Uperoleia Martini","Terrestrial/Freshwater","Endangered","Not seabird","Mixed"
"712","Cumulative","Callocephalon Fimbriatum","Terrestrial","Endangered","Not seabird","Terrestrial"
"713","Cumulative","Neophema Chrysogaster","Terrestrial/Freshwater","Critically Endangered","Not seabird","Mixed"
"714","Cumulative","Lathamus Discolor","Terrestrial","Critically Endangered","Not seabird","Terrestrial"
"715","Cumulative","Hirundapus Caudacutus","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"716","Cumulative","Pycnoptilus Floccosus","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"717","Cumulative","Grantiella Picta","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"718","Cumulative","Haliaeetus Leucogaster","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"719","Cumulative","Stagonopleura Guttata","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"720","Cumulative","Rostratula Australis","Terrestrial/Freshwater/Marine","Endangered","Seabird","Mixed"
"721","Cumulative","Botaurus Poiciloptilus","Freshwater/Marine","Endangered","Seabird","Mixed"
"722","Cumulative","Sternula Nereis Nereis","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"723","Cumulative","Limosa Lapponica Baueri","Terrestrial/Freshwater","Vulnerable","Not seabird","Mixed"
"724","Cumulative","Thinornis Cucullatus","Freshwater/Marine","Listed","Seabird","Mixed"
"725","Cumulative","Charadrius Mongolus","Terrestrial/Freshwater/Marine","Endangered","Seabird","Mixed"
"726","Cumulative","Charadrius Leschenaultii","Terrestrial/Freshwater/Marine","Vulnerable","Seabird","Mixed"
"727","Cumulative","Numenius Madagascariensis","Terrestrial/Freshwater/Marine","Critically Endangered","Seabird","Mixed"
"728","Cumulative","Calidris Ferruginea","Terrestrial/Freshwater/Marine","Critically Endangered","Seabird","Mixed"
"729","Cumulative","Calidris Canutus","Terrestrial/Freshwater/Marine","Endangered","Seabird","Mixed"
"730","Cumulative","Calidris Tenuirostris","Terrestrial/Marine","Critically Endangered","Seabird","Mixed"
"731","Cumulative","Egretta Garzetta","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"732","Cumulative","Anseranas Semipalmata","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"733","Cumulative","Biziura Lobata","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"734","Cumulative","Hydroprogne Caspia","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"735","Cumulative","Sternula Albifrons","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"736","Cumulative","Arenaria Interpres","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"737","Cumulative","Pluvialis Squatarola","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"738","Cumulative","Pluvialis Fulva","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"739","Cumulative","Numenius Phaeopus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"740","Cumulative","Tringa Glareola","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"741","Cumulative","Tringa Brevipes","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"742","Cumulative","Actitis Hypoleucos","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"743","Cumulative","Tringa Nebularia","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"744","Cumulative","Tringa Stagnatilis","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"745","Cumulative","Xenus Cinereus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"746","Cumulative","Limosa Limosa","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"747","Cumulative","Amphibromus Fluitans","Freshwater","Vulnerable","Not seabird","Freshwater"
"748","Cumulative","Caladenia Orientalis","Terrestrial","Endangered","Not seabird","Terrestrial"
"749","Cumulative","Caladenia Tessellata","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"750","Cumulative","Commersonia Prostrata","Terrestrial","Endangered","Not seabird","Terrestrial"
"751","Cumulative","Dianella Amoena","Terrestrial","Endangered","Not seabird","Terrestrial"
"752","Cumulative","Dodonaea Procumbens","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"753","Cumulative","Eucalyptus Strzeleckii","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"754","Cumulative","Prasophyllum Frenchii","Terrestrial","Endangered","Not seabird","Terrestrial"
"755","Cumulative","Prasophyllum Spicatum","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"756","Cumulative","Prostanthera Galbraithiae","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"757","Cumulative","Pterostylis Chlorogramma","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"758","Cumulative","Senecio Psilocarpus","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"759","Cumulative","Thelymitra Epipactoides","Terrestrial","Endangered","Not seabird","Terrestrial"
"760","Cumulative","Thelymitra Matthewsii","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"761","Cumulative","Xerochrysum Palustre","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"762","Cumulative","Caladenia Calcicola","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"763","Cumulative","Caladenia Colorata","Terrestrial","Endangered","Not seabird","Terrestrial"
"764","Cumulative","Caladenia Hastata","Terrestrial","Endangered","Not seabird","Terrestrial"
"765","Cumulative","Caladenia Ornata","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"766","Cumulative","Cassinia Rugata","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"767","Cumulative","Glycine Latrobeana","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"768","Cumulative","Ixodia Achillaeoides Subsp. Arenicola","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"769","Cumulative","Pterostylis Cucullata Subsp. Cucullata","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"770","Cumulative","Pterostylis Tenuissima","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"771","Cumulative","Taraxacum Cygnorum","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"772","Cumulative","Prasophyllum Litorale","Terrestrial","Critically Endangered","Not seabird","Terrestrial"
"773","Cumulative","Calyptorhynchus Banksii Graptogyne","Terrestrial","Endangered","Not seabird","Terrestrial"
"774","Cumulative","Dasyurus Maculatus Maculatus (Se Mainland Population)","Terrestrial","Endangered","Not seabird","Terrestrial"
"775","Cumulative","Antechinus Minimus Maritimus","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"776","Cumulative","Potorous Tridactylus Trisulcatus","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"777","Cumulative","Pseudomys Shortridgei","Terrestrial","Endangered","Not seabird","Terrestrial"
"778","Cumulative","Miniopterus Orianae Bassanii","Terrestrial","Critically Endangered","Not seabird","Terrestrial"
"779","Cumulative","Nannoperca Obscura","Freshwater","Endangered","Not seabird","Freshwater"
"780","Cumulative","Nannoperca Variegata","Freshwater","Vulnerable","Not seabird","Freshwater"
"781","Cumulative","Euastacus Bispinosus","Freshwater","Endangered","Not seabird","Freshwater"
"782","Cumulative","Pterodroma Mollis","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"783","Cumulative","Pterodroma Leucoptera","Terrestrial/Marine","Listed","Seabird","Mixed"
"784","Cumulative","Pelagodroma Marina","Terrestrial/Marine","Listed","Seabird","Mixed"
"785","Cumulative","Arctocephalus Pusillus","Marine","Listed","Not seabird","Marine"
"786","Cumulative","Neophoca Cinerea","Terrestrial/Marine","Endangered","Not seabird","Mixed"
"787","Cumulative","Physeter Macrocephalus","Marine","Listed","Not seabird","Marine"
